Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4098355656578427,0.34523809523809523,0.47171294334388914,0.8154761904761905,0.5303958177744587,0.5977011494252874,0.5620372698572346
2,1.3253473781404042,0.5357142857142857,0.29925650925863356,0.9107142857142857,0.8949065119277885,0.8919540229885058,0.8888888888888888
3,1.3035765772774106,0.5357142857142857,0.3769463502935001,0.7916666666666666,0.5245429304835246,0.5804597701149425,0.5510507262054144
4,1.3741818212327503,0.3392857142857143,0.13386196323803493,0.9345238095238095,0.8817204301075269,0.935672514619883,0.8925058696617806
5,1.3783536906727774,0.11377245508982035,0.3126112882962484,0.9041916167664671,0.8724222979542128,0.871345029239766,0.8680161943319838
