Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.473091817839177,0.004366812227074236,0.98051137591033,0.5283842794759825,0.13209606986899564,0.25,0.17285714285714285
2,1.2825520038604736,0.5307017543859649,0.9165337211534119,0.5307017543859649,0.13267543859649122,0.25,0.17335243553008595
3,1.2619799814726178,0.5350877192982456,0.11510938592255116,0.9605263157894737,0.7053366687513029,0.7128972656312353,0.7090226596587439
4,1.4304516252718473,0.0043859649122807015,0.973446434004265,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
5,1.4976839099014014,0.11403508771929824,0.9151950970030668,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
