Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3686528319404239,0.34523809523809523,0.29611613495009287,0.9107142857142857,0.9284621328620503,0.8901996370235935,0.9047353686528944
2,1.3140721434638614,0.5357142857142857,0.3088299220516568,0.9047619047619048,0.8827404479578392,0.8862068965517241,0.87858136695346
3,1.4426507609231132,0.0,0.6513993513016474,0.7738095238095238,0.550077519379845,0.5632183908045977,0.5430961700821245
4,1.4644458293914795,0.0,0.20388176088177024,0.9464285714285714,0.894524959742351,0.9149122807017545,0.9032055311125079
5,1.4074890813427772,0.11377245508982035,0.4091970449436211,0.8203592814371258,0.5332830568124686,0.6023391812865496,0.5657011806676293
