Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3928494963583467,0.004366812227074236,0.9826081517481908,0.5283842794759825,0.13209606986899564,0.25,0.17285714285714285
2,1.4388914024620725,0.008771929824561403,1.0113088708174856,0.5307017543859649,0.13267543859649122,0.25,0.17335243553008595
3,1.50047210643166,0.0043859649122807015,0.981724831095913,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
4,1.3867522457189727,0.0043859649122807015,0.9740703691516006,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
5,1.3554267004916543,0.34649122807017546,0.9775798990015399,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
