Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3819381450425083,0.0058309037900874635,0.024371021616591892,0.9970845481049563,0.9493169398907104,0.9978991596638656,0.9708253726375252
2,1.3014314209406994,0.3469387755102041,0.025258584899066558,0.9927113702623906,0.7451847084857517,0.7468354430379747,0.7459823127147467
3,1.3543037026467986,0.11532846715328467,0.04415087041934318,0.9897810218978103,0.7371718036529681,0.7423010230622508,0.7397224766615731
4,1.4186421862483896,0.004379562043795621,0.07749105297087651,0.9883211678832117,0.8620249754879712,0.8284927669698017,0.8410016750604171
5,1.4245734794296487,0.11532846715328467,0.03719155148494255,0.9912408759124087,0.7396777829004662,0.7486301369863013,0.7440961366039818
