Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.2785948853305333,0.5283842794759825,0.9245312380478372,0.5283842794759825,0.13209606986899564,0.25,0.17285714285714285
2,1.460479738419516,0.11403508771929824,0.9940503689280727,0.5307017543859649,0.13267543859649122,0.25,0.17335243553008595
3,1.4617674664447182,0.11403508771929824,0.3806601637288144,0.8640350877192983,0.6186609686609686,0.6432770124666785,0.6155126667311799
4,1.3910354731375711,0.10087719298245613,0.9736011655707109,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
5,1.4183456730424313,0.11403508771929824,0.9735858565882632,0.5350877192982456,0.1337719298245614,0.25,0.1742857142857143
