Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4028817032933583,0.1151603498542274,0.05555431928306427,0.9912536443148688,0.7420406908997896,0.7482646483250834,0.7451331381088333
2,1.5406003151273588,0.1151603498542274,0.05791762980575464,0.9868804664723032,0.7417267532820897,0.7454788764820997,0.7435927276673645
3,1.408539706425075,0.34744525547445254,0.06877794218297205,0.9883211678832117,0.7344773405191548,0.7458443651433176,0.7400116425170892
4,1.3302671604782996,0.34744525547445254,0.06716273158081691,0.9868613138686131,0.73668430335097,0.7458904109589041,0.7411799883897829
5,1.4749246560744125,0.00583941605839416,0.06221850579672486,0.9883211678832117,0.7359982866357588,0.7468903531587769,0.7413474434598306
