Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3414063832502672,0.532069970845481,0.028155914141208344,0.9912536443148688,0.7420406908997896,0.7482646483250834,0.7451331381088333
2,1.3636911346335452,0.532069970845481,0.01866733579485373,0.9927113702623906,0.7451847084857517,0.7468354430379747,0.7459823127147467
3,1.383355551914577,0.004379562043795621,0.10350232330415599,0.9927007299270073,0.738770325203252,0.7486301369863013,0.7436087766154166
4,1.4084406302793182,0.004379562043795621,0.04970271330591067,0.9897810218978103,0.7389890776663064,0.7468947853113849,0.7428917702860813
5,1.3531004762997592,0.345985401459854,0.033780924910399045,0.9912408759124087,0.7396777829004662,0.7486301369863013,0.7440961366039818
