Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3070556092192758,0.532069970845481,0.05411962488715051,0.9912536443148688,0.7420406908997896,0.7482646483250834,0.7451331381088333
2,1.4448888871829642,0.3469387755102041,0.06706164443849127,0.9883381924198251,0.7430882922274601,0.7457983193277311,0.7444359215075675
3,1.4446401547341452,0.11532846715328467,0.2692122222950859,0.9197080291970803,0.7038776533127322,0.6947259691114178,0.6962961188368151
4,1.5335929679174494,0.004379562043795621,0.10293579941248372,0.9824817518248176,0.73287628026632,0.7423736617934845,0.7375382140216704
5,1.403742090454937,0.345985401459854,0.061834170092848965,0.9883211678832117,0.7359982866357588,0.7468903531587769,0.7413474434598306
