Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4551831525546817,0.0058309037900874635,0.14208074732963266,0.9664723032069971,0.7159780305564849,0.7117457629835356,0.7136579790478559
2,1.3823092174947087,0.0058309037900874635,0.18310371202582346,0.9446064139941691,0.6802473060975659,0.6967204377849631,0.6879765288225108
3,1.4164742607269845,0.11532846715328467,0.3003683683645986,0.8978102189781022,0.6706365971071854,0.6772210184576691,0.6690429747028345
4,1.3951503771064926,0.11532846715328467,0.24611109306995016,0.8963503649635036,0.6788487836596795,0.6508009567621048,0.6626587324488105
5,1.4578943785089646,0.345985401459854,0.3049038324042828,0.9036496350364963,0.6716222374117111,0.6603924628634184,0.6646590688129204
