Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4068752223095935,0.3460410557184751,0.1976358710495957,0.9560117302052786,0.6933656186308067,0.695341832845306,0.6943495565097557
2,1.4206500787539216,0.002932551319648094,0.9717317095949503,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
3,1.4272847042754948,0.002932551319648094,0.9710779798345482,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
4,1.386449494081385,0.11470588235294117,0.9674676235984353,0.5352941176470588,0.1338235294117647,0.25,0.1743295019157088
5,1.312724988600787,0.5352941176470588,0.9832609625423656,0.5352941176470588,0.1338235294117647,0.25,0.1743295019157088
