Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4755347910381498,0.1130952380952381,0.9565830684843517,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
2,1.5089321874436878,0.0,0.9629852771759033,0.5357142857142857,0.17857142857142858,0.3333333333333333,0.23255813953488372
3,1.4214299633389427,0.11904761904761904,0.9561532849357242,0.5357142857142857,0.17857142857142858,0.3333333333333333,0.23255813953488372
4,1.421972399666196,0.3392857142857143,0.9753822059858412,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
5,1.4005412669952757,0.3413173652694611,0.9456106973979288,0.5449101796407185,0.18163672654690619,0.3333333333333333,0.23514211886304912
