Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4237212481037262,0.11436950146627566,0.1948655114845097,0.9501466275659824,0.6891807379612258,0.693362116257365,0.6911411758274508
2,1.413631314406297,0.002932551319648094,0.1354937902993121,0.9648093841642229,0.7154528478057889,0.6943890854907804,0.7032324290148433
3,1.4336183459178444,0.002932551319648094,0.12155419026564293,0.9706744868035191,0.713109756097561,0.7200281709815608,0.7165096445781095
4,1.4959916816038243,0.11470588235294117,0.1961357954560834,0.9529411764705882,0.6993961352657005,0.6889240702800026,0.6937943702070992
5,1.3275448897305657,0.11470588235294117,0.34758469707825607,0.8852941176470588,0.6749603110185417,0.6503357753357754,0.6589334802321375
