Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3730232033911338,0.3460410557184751,0.6500696076675594,0.7947214076246334,0.4175545571245186,0.4364406779661017,0.41985948323976496
2,1.4139605383019993,0.002932551319648094,0.973293228233315,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
3,1.4799329531856995,0.002932551319648094,0.9808563298144298,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
4,1.3547017714556526,0.34705882352941175,0.9794733271879308,0.5352941176470588,0.1338235294117647,0.25,0.1743295019157088
5,1.4363537255455465,0.0058823529411764705,0.970993319679709,0.5470588235294118,0.38541666666666663,0.25854700854700857,0.1922046012955104
