Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.333849486018206,0.3460410557184751,0.9679021653541722,0.5366568914956011,0.13416422287390029,0.25,0.17461832061068702
2,1.4020519711055364,0.3460410557184751,0.9726489016737057,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
3,1.3459806040235278,0.533724340175953,0.9731726765283042,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
4,1.4284965430988985,0.11470588235294117,0.9779139841304106,0.5352941176470588,0.1338235294117647,0.25,0.1743295019157088
5,1.3675227263394525,0.5352941176470588,0.9818738460540771,0.5352941176470588,0.1338235294117647,0.25,0.1743295019157088
