Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.439323996872881,0.34934497816593885,0.3198545249789042,0.9170305676855895,0.6691841976516635,0.6702718472604836,0.6690090128786089
2,1.3669549289502596,0.10964912280701754,0.4177227098690836,0.881578947368421,0.6599264705882353,0.6397303789421166,0.6475446676725165
3,1.3960779738007931,0.0043859649122807015,0.3734404418552131,0.8640350877192983,0.6217054061566256,0.6497278401200377,0.6166322130400068
4,1.2834636704963551,0.5350877192982456,0.25429531611632883,0.8991228070175439,0.6984519104084321,0.6697088447970374,0.6811140583554377
5,1.4430320346564578,0.11403508771929824,0.2809487955089201,0.9035087719298246,0.6877057104316546,0.6641918208373905,0.6724933844609301
