Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4087780316670735,0.34523809523809523,0.4752193150066194,0.8035714285714286,0.5216931216931217,0.5862068965517241,0.551948051948052
2,1.3480988967986334,0.5357142857142857,0.9554895219348726,0.5357142857142857,0.17857142857142858,0.3333333333333333,0.23255813953488372
3,1.4335475535619826,0.0,0.39020234914053054,0.8809523809523809,0.9044190511581816,0.8543422733077906,0.8733183076644825
4,1.3623994986216228,0.5416666666666666,0.4819143201623644,0.7857142857142857,0.5075328124202033,0.5730994152046783,0.5380357244764025
5,1.5137773966360948,0.11377245508982035,0.2841902749825782,0.9101796407185628,0.9388888888888888,0.912280701754386,0.9171384171384172
