Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.352057301841969,0.5283842794759825,0.09056447446346283,0.9868995633187773,0.7358803128689493,0.7448088842975207,0.7402634297520662
2,1.5481176104461938,0.11403508771929824,0.5309813085355257,0.8026315789473685,0.3917838874680307,0.4473009729051156,0.4176735613352447
3,1.3447907159202976,0.5350877192982456,0.28047943402800646,0.9298245614035088,0.711026936026936,0.7036470222037767,0.7048295102136913
4,1.3435987464168615,0.34649122807017546,0.38401563962300617,0.9122807017543859,0.7078859988931931,0.6769717624148004,0.6889942528735632
5,1.4466342821455838,0.11403508771929824,0.2886458543831842,0.9210526315789473,0.7154562064634007,0.6962025316455696,0.702026334250715
