Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4383462344715168,0.34934497816593885,0.28907220124157235,0.925764192139738,0.6915246957766643,0.6775807315580042,0.6840031372982883
2,1.3563697170792965,0.11403508771929824,0.403181743138192,0.8377192982456141,0.5850707345208523,0.6080848093218634,0.5857843137254902
3,1.2435050993634944,0.5350877192982456,0.35202512511035855,0.8947368421052632,0.6626061983965539,0.6654289112008556,0.6585907335907336
4,1.4209704252711512,0.11403508771929824,0.14690063014757215,0.9692982456140351,0.7106793710082774,0.719226379555286,0.7148722431256778
5,1.3157476667772259,0.5350877192982456,0.16686568559523215,0.9605263157894737,0.6995613707351337,0.7140126422653919,0.7064775746210346
