Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3346646286192394,0.5416666666666666,0.9629885469164167,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
2,1.4510569288617088,0.0,0.8955956300099691,0.5357142857142857,0.17857142857142858,0.3333333333333333,0.23255813953488372
3,1.5386486791429066,0.11904761904761904,0.9556662468683153,0.5357142857142857,0.17857142857142858,0.3333333333333333,0.23255813953488372
4,1.394601543744405,0.11904761904761904,0.9527509326026553,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
5,1.446562910508253,0.3413173652694611,0.9454138293237744,0.5449101796407185,0.18163672654690619,0.3333333333333333,0.23514211886304912
