Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.310982804843757,0.3460410557184751,0.16174504787953367,0.9560117302052786,0.71659881569208,0.7218440307492822,0.7180393729595856
2,1.3671467178378287,0.11730205278592376,0.22989031437052485,0.9325513196480938,0.7204618960986456,0.7033898305084746,0.7090071092902759
3,1.3185187927788653,0.3460410557184751,0.054466817156572846,0.9941348973607038,0.7458333333333333,0.7486263736263736,0.7472104544297058
4,1.3861989484113806,0.5352941176470588,0.25097456841784366,0.9264705882352942,0.7129595588235295,0.6998975600670516,0.7032540184096274
5,1.3873192955465878,0.34411764705882353,0.3007929867681335,0.9176470588235294,0.7080910452385871,0.6952075702075702,0.6980923443913728
