Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4007319239926828,0.11436950146627566,0.1823806393061303,0.9530791788856305,0.6875,0.6939757126267269,0.690680410430969
2,1.2950413531222302,0.3460410557184751,0.9709528268607132,0.533724340175953,0.13343108504398826,0.25,0.1739961759082218
3,1.4527067113831595,0.002932551319648094,0.10551756575616224,0.9853372434017595,0.7317927170868348,0.743015459117154,0.7372469619514015
4,1.4035894015256096,0.11470588235294117,0.9023696744088632,0.5352941176470588,0.1338235294117647,0.25,0.1743295019157088
5,1.4791385650634765,0.11470588235294117,0.3927408902960665,0.8705882352941177,0.653519090086802,0.6396520146520146,0.6407248432367871
