Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.442123781201427,0.3460410557184751,0.22814075644414794,0.9530791788856305,0.7153902798232695,0.7197253866814856,0.7162198001072285
2,1.2662769793764936,0.3460410557184751,0.03903112059071267,0.9970674486803519,0.7478991596638656,0.75,0.748945147679325
3,1.3234012794634464,0.533724340175953,0.2479357555989296,0.9296187683284457,0.7128102991981627,0.7020162041348482,0.7048128858024691
4,1.4846577518126545,0.11470588235294117,0.307161189966342,0.8735294117647059,0.43198113535901983,0.4943890854907804,0.45885429638854297
5,1.3656101970111623,0.5352941176470588,0.5197371742304634,0.8,0.3898825654923216,0.4438339438339438,0.41509782207456625
