Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.367986378215608,0.5416666666666666,0.9623357341403053,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
2,1.2944037460145497,0.5357142857142857,0.895795464515686,0.5357142857142857,0.17857142857142858,0.3333333333333333,0.23255813953488372
3,1.4139402196520852,0.0,0.5737813377664203,0.7797619047619048,0.5047619047619047,0.5710089399744572,0.5356784629511903
4,1.4252447514306932,0.3392857142857143,0.5931680032185146,0.7559523809523809,0.48580246913580244,0.5482295482295482,0.5146816704605649
5,1.4174672208146422,0.11377245508982035,0.6131236310490591,0.7964071856287425,0.5597449908925319,0.5789473684210527,0.5593298352204732
