Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4284009286735064,0.002932551319648094,0.10340189802681596,0.9853372434017595,0.7279761904761906,0.744535519125683,0.7358774694653798
2,1.4147333182897037,0.002932551319648094,0.02160315205209241,0.9970674486803519,0.7478991596638656,0.75,0.748945147679325
3,1.5173487051491164,0.11730205278592376,0.08755215842965061,0.9912023460410557,0.7397007583521213,0.746507729558577,0.7430603180507285
4,1.4903852518867045,0.0029411764705882353,0.03538018278777599,0.9941176470588236,0.7416491596638656,0.7486263736263736,0.7450918854831398
5,1.3612618502448588,0.34411764705882353,0.08347070024841849,0.9882352941176471,0.7381390854907804,0.7464896214896215,0.7422703273026462
