Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.371612481751178,0.1151603498542274,0.7557314112999697,0.7653061224489796,0.4121352029183767,0.4180672268907563,0.4032293961852619
2,1.4202689099242318,0.1151603498542274,0.9836807994731314,0.532069970845481,0.13301749271137026,0.25,0.1736441484300666
3,1.3589512264641532,0.34744525547445254,0.13344748724017455,0.9635036496350365,0.7207542047722829,0.7015999099483733,0.709589225993874
4,1.4082186173348532,0.11532846715328467,0.18143859830088863,0.9445255474452555,0.6819415480951729,0.6850993336471055,0.6835039871681339
5,1.3406349658966064,0.5328467153284672,0.1478822380725811,0.9591240875912409,0.708438520938521,0.7029564765042483,0.7053588636080218
