Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.334233596335332,0.5283842794759825,0.23803862486864283,0.9213973799126638,0.6770676926926926,0.6733968472604837,0.6747060391638704
2,1.3038884275837948,0.5307017543859649,0.4635077643028477,0.8377192982456141,0.5898864809081528,0.6080848093218634,0.5894177119722036
3,1.5355088187937151,0.11403508771929824,0.3163763208870302,0.9122807017543859,0.6899179317089765,0.6780871390489569,0.681931215738049
4,1.3229236602783203,0.5350877192982456,0.36963929067643586,0.8640350877192983,0.42750541292916794,0.4895725254202117,0.45400974745237044
5,1.3531968342630487,0.5350877192982456,0.17437002967977733,0.9649122807017544,0.7190089652981133,0.7031601672865421,0.7100949365781528
