experiment_id,batch_size,learning_rate,max_seq_len,pre_train_loss,pre_train_acc,post_train_loss,post_train_acc,precision,recall,f1_score
bs_8_lr_0.01_seq_10,8,0.01,10,1.4042212632036728,0.15470919963397248,0.35685522976742573,0.8514366580834629,0.5812589344103101,0.5955495480661486,0.5821483046840121
bs_8_lr_0.01_seq_20,8,0.01,20,1.3907968976042364,0.20038123167155425,0.8182348293239791,0.6188097291702604,0.24557496950846253,0.3390683665690612,0.27820018243152334
bs_8_lr_0.01_seq_30,8,0.01,30,1.3891518676691035,0.23771546770857271,0.780159202798725,0.6179575576495825,0.2475304073731825,0.34257945312624705,0.2807607333234803
bs_8_lr_0.01_seq_40,8,0.01,40,1.4099922791280604,0.15965925292272598,0.851991021858483,0.5899344168805246,0.24602891715337546,0.38160919540229876,0.2951249018358653
bs_8_lr_0.001_seq_10,8,0.001,10,1.4235805788680667,0.2010648847651678,0.10648563215299708,0.9731535826009237,0.722307968270026,0.724554076876112,0.7229136843645406
bs_8_lr_0.001_seq_20,8,0.001,20,1.3783019700921444,0.26103846817319304,0.14253425945053716,0.9553872692772124,0.7111413941251502,0.6990539577199066,0.7037610189008388
bs_8_lr_0.001_seq_30,8,0.001,30,1.4053610580064122,0.31636022370336325,0.2505878151396139,0.913196200107255,0.582512885501403,0.6166676978623535,0.5944382719883621
bs_8_lr_0.001_seq_40,8,0.001,40,1.43901895333261,0.1548973481608212,0.5137262970167429,0.7819931565440548,0.5928237186618845,0.6054849768098406,0.5749717841551739
bs_8_lr_0.1_seq_10,8,0.1,10,1.3904158838160918,0.3530280266433998,0.9948981869756771,0.5325360175352728,0.1331340043838182,0.25,0.17374337365774095
bs_8_lr_0.1_seq_20,8,0.1,20,1.4210619077473567,0.11633258582025185,0.9775081066043085,0.534938761428325,0.13373469035708124,0.25,0.17425393525170968
bs_8_lr_0.1_seq_30,8,0.1,30,1.417250553876479,0.16393166321918334,0.9949374792302402,0.5328698383513368,0.1332174595878342,0.25,0.17381334424887432
bs_8_lr_0.1_seq_40,8,0.1,40,1.4456821216964504,0.1825491873396065,0.95934290679595,0.5399344168805247,0.1799781389601749,0.3333333333333333,0.23374537328025702
bs_8_lr_0.0001_seq_10,8,0.0001,10,1.4214022772783665,0.11766082866931966,0.23531355063885756,0.9217777872358536,0.6834665909665253,0.6793761277703382,0.6795990567669865
bs_8_lr_0.0001_seq_20,8,0.0001,20,1.3889088640209724,0.25377781611178196,0.2784543327654379,0.9119389339313437,0.6777005359461131,0.6701542090785632,0.6709730327250332
