Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3043132339205061,0.532069970845481,0.12167158226262637,0.9664723032069971,0.7140670080105418,0.7138598997774938,0.7138998542897311
2,1.2592864418863903,0.532069970845481,0.1541064499277328,0.9518950437317785,0.6854793590356718,0.7135608934053941,0.6971254042034616
3,1.4153466711949259,0.11532846715328467,0.11327671706812442,0.9664233576642336,0.7038907887653969,0.726225277695611,0.71404808366756
4,1.3537061315383354,0.5328467153284672,0.14213473078298525,0.9576642335766423,0.7118511856880598,0.6945531151597105,0.7020286926980767
5,1.3351823465667503,0.345985401459854,0.11165511965153427,0.964963503649635,0.7166651955808583,0.706805964973123,0.7111052062609581
