Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3830683478113515,0.3469387755102041,0.6420648287406121,0.7725947521865889,0.4003563596491228,0.42368481639231037,0.4048975282237323
2,1.4516763165810365,0.1151603498542274,0.9845186412855765,0.532069970845481,0.13301749271137026,0.25,0.1736441484300666
3,1.505556707486619,0.004379562043795621,0.13768031044597778,0.9635036496350365,0.7210228838481263,0.6987547958319794,0.7081522194012778
4,1.3233947948817788,0.34744525547445254,0.9206753777543993,0.5328467153284672,0.1332116788321168,0.25,0.1738095238095238
5,1.2967565764475912,0.5328467153284672,0.3898459086437662,0.891970802919708,0.6189048820903258,0.656392694063927,0.6324326724870906
