Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4159666164473155,0.34934497816593885,0.07925499891292906,0.9912663755458515,0.7379850088183422,0.7479338842975207,0.7428644060251494
2,1.3642473680931224,0.34649122807017546,0.10476547879117884,0.9824561403508771,0.7324246250382613,0.7447693273354954,0.7384999220333697
3,1.3887348676982678,0.34649122807017546,0.06487617064920957,0.9912280701754386,0.7376157407407408,0.7479508196721312,0.7426818852395372
4,1.3769677354578387,0.5350877192982456,0.02635635604077068,0.9956140350877193,0.746875,0.75,0.7484276729559749
5,1.402695613994933,0.0043859649122807015,0.02563644224867682,0.9956140350877193,0.746875,0.75,0.7484276729559749
