Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4183554024923415,0.0,0.5995494467871529,0.8154761904761905,0.5303958177744587,0.5977011494252874,0.5620372698572346
2,1.3096113318488711,0.5357142857142857,0.2992184176331475,0.9107142857142857,0.8807069219440353,0.9137931034482758,0.8824617755893236
3,1.390772711663019,0.34523809523809523,0.47205779665992376,0.9107142857142857,0.9290560569132468,0.8919540229885058,0.9059065934065934
4,1.338360968090239,0.5416666666666666,0.4228640085174924,0.8690476190476191,0.8649478812847429,0.8388888888888889,0.8428787882616212
5,1.3615842201038748,0.5449101796407185,0.42891926679782527,0.8383233532934131,0.5465933848286789,0.6198830409356725,0.5806315789473685
