Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.2890881883854768,0.3469387755102041,0.12494116730488423,0.9591836734693877,0.7065763484426437,0.7083211054492891,0.7072522811246659
2,1.4859151013043461,0.1151603498542274,0.08630736997763765,0.9737609329446064,0.7275765321111699,0.7166323751626539,0.7215028284188737
3,1.4269097371693076,0.11532846715328467,0.12943864864752674,0.9678832116788321,0.7264115920340739,0.7057688412628793,0.7146118721461188
4,1.3412044441612967,0.5328467153284672,0.14759864390413038,0.9576642335766423,0.7091660829210631,0.6945531151597105,0.7008940808031618
5,1.385449833417461,0.345985401459854,0.1420458367271145,0.962043795620438,0.7174771686276723,0.7025865556904225,0.7090637483202397
