Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4861092056546892,0.1130952380952381,0.24670947378589994,0.9047619047619048,0.9115845756222553,0.8844525105868118,0.8930116727186722
2,1.3320918310256231,0.34523809523809523,0.41856316583497183,0.8392857142857143,0.5487149702337738,0.6264367816091955,0.5844215064461302
3,1.3191739547820318,0.5357142857142857,0.3374710636479514,0.9047619047619048,0.9129582267689685,0.8862068965517241,0.8945512820512821
4,1.356612898054577,0.3392857142857143,0.5216987594252541,0.7916666666666666,0.5119699736254818,0.5789473684210527,0.5432467403204937
5,1.3123548601915735,0.3413173652694611,0.43303004424729036,0.8323353293413174,0.5428374248250024,0.6162200372726688,0.5767195767195767
