Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.385178560302371,0.0,0.31663064073239056,0.9047619047619048,0.9031940340509358,0.9080459770114943,0.894302078219604
2,1.2867838484900338,0.5357142857142857,0.27575670111747014,0.9107142857142857,0.8784272866856767,0.8919540229885058,0.8792971734148205
3,1.3865940911429269,0.11904761904761904,0.33494396862529574,0.9047619047619048,0.9214324618736383,0.8752873563218392,0.8937644819596161
4,1.4341507014774142,0.5416666666666666,0.3751120709237598,0.8869047619047619,0.8977405635300372,0.8564327485380118,0.8707491628283708
5,1.439759770553269,0.0,0.2087146072330589,0.9281437125748503,0.950392156862745,0.8947368421052632,0.9186847281088119
