Fold,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Precision,Recall,F1-Score
1,0.0541202706624346,0.9857433808553971,0.023084060319252614,0.991869918699187,1.0,0.9875,0.9937106918238994
2,0.057220398380716055,0.9857433808553971,0.06519697725818288,0.983739837398374,1.0,0.975,0.9873417721518988
3,0.06499716431986495,0.9775967413441955,0.08936212564689841,0.983739837398374,1.0,0.9751552795031055,0.9874213836477987
4,0.1121114304806518,0.9766022380467956,0.1277583759278059,0.9714285714285714,0.9693251533742331,0.9875,0.978328173374613
5,0.10790774047029861,0.9766022380467956,0.11851668464285987,0.9714285714285714,0.9636363636363636,0.99375,0.9784615384615385
