Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1-score,Fold
1,0.7421610951423645,0.7371647428063786,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
2,0.7355118323774898,0.7304373208214255,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
3,0.7291158016990212,0.7242661609369165,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
4,0.7229651598369374,0.7190616306136636,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
5,0.7174829840660095,0.7137959003448486,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
6,0.7120277881622314,0.7093456142088946,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
7,0.7082188164486605,0.7036656562019797,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
8,0.7025410147274241,0.6995647304198321,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
9,0.6981415608349968,0.6955430051859688,0.40441176470588236,0.4117647058823529,0.0,0.0,0.0,0
10,0.6939446224885828,0.691499254282783,0.4632352941176471,0.8235294117647058,0.8181818181818182,0.9,0.8571428571428571,0
11,0.6896964802461512,0.6879966399248909,0.6029411764705882,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
12,0.6861623946358176,0.6842529984081492,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
13,0.6823327927028432,0.6812643338652218,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
14,0.6796027071335736,0.6778552847750047,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
15,0.6768078488462111,0.6750449222676894,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
16,0.6741280380417319,0.6734576575896319,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
17,0.6726191674961763,0.6710858835893518,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
18,0.6705346423036912,0.6695540091570686,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
19,0.6688902062528274,0.6683779393925386,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
20,0.6676774831379161,0.6670132524826947,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
21,0.6668463875265682,0.6655446220846737,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
22,0.6655743683085722,0.6644873408710256,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
23,0.6646659689791062,0.6632786638596478,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
24,0.6640044696190778,0.6622418796314913,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
25,0.6636027869056252,0.661478743833654,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
26,0.6622029122184304,0.6602632017696605,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
27,0.6612646790111766,0.6591274457819322,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
28,0.6602474135511062,0.6580572671750012,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
29,0.6594076752662659,0.6569325696019566,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
30,0.6586088362862083,0.6556881946675918,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
31,0.6576357834479388,0.6543229362543892,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
32,0.6567358339534086,0.6530143127721899,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
33,0.655635770629434,0.6517794167294222,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
34,0.6546659013804268,0.6502054964794832,0.5955882352941176,0.5882352941176471,0.5882352941176471,1.0,0.7407407407407407,0
